Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
33,Tottenham,12/19/2018,@,Arsenal,eng EFL Cup,W 2-0,2,0,2,46,2,0,0,0,Match Report
34,Tottenham,12/15/2018,,Burnley,eng Premier League,W 1-0,1,0,1,70,1,0,0,0,Match Report
35,Tottenham,12/11/2018,@,Barcelona,Champions League,D 1-1,1,1,0,51,1,0,0,0,Match Report
36,Tottenham,12/8/2018,@,Leicester City,eng Premier League,W 2-0,2,0,2,57,2,0,0,0,Match Report
37,Tottenham,12/5/2018,,Southampton,eng Premier League,W 3-1,3,1,2,52,3,0,0,0,Match Report
38,Tottenham,12/2/2018,@,Arsenal,eng Premier League,L 2-4,2,4,-2,41,1,1,1,0,Match Report
39,Tottenham,11/28/2018,,Inter,Champions League,W 1-0,1,0,1,52,1,0,0,0,Match Report
40,Tottenham,11/24/2018,,Chelsea,eng Premier League,W 3-1,3,1,2,40,3,0,0,0,Match Report
41,Tottenham,11/10/2018,@,Crystal Palace,eng Premier League,W 1-0,1,0,1,64,1,0,0,0,Match Report
42,Tottenham,11/6/2018,,PSV Eindhoven,Champions League,W 2-1,2,1,1,75,2,0,0,0,Match Report
43,Tottenham,11/3/2018,@,Wolves,eng Premier League,W 3-2,3,2,1,51,3,0,0,0,Match Report
44,Tottenham,10/31/2018,@,West Ham,eng EFL Cup,W 3-1,3,1,2,50,3,0,0,0,Match Report
45,Tottenham,10/29/2018,,Manchester City,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,Match Report
46,Tottenham,10/24/2018,@,PSV Eindhoven,Champions League,D 2-2,2,2,0,70,2,0,0,0,Match Report
47,Tottenham,10/20/2018,@,West Ham,eng Premier League,W 1-0,1,0,1,56,1,0,0,0,Match Report
48,Tottenham,10/6/2018,,Cardiff City,eng Premier League,W 1-0,1,0,1,75,1,0,0,0,Match Report
49,Tottenham,10/3/2018,,Barcelona,Champions League,L 2-4,2,4,-2,39,2,0,0,0,Match Report
50,Tottenham,9/29/2018,@,Huddersfield,eng Premier League,W 2-0,2,0,2,47,1,1,1,0,Match Report
51,Tottenham,9/26/2018,,Watford,eng EFL Cup,D 2-2 (pk),2,2,0,52,1,1,1,0,Match Report
52,Tottenham,9/22/2018,@,Brighton,eng Premier League,W 2-1,2,1,1,70,1,1,1,0,Match Report
53,Tottenham,9/18/2018,@,Inter,Champions League,L 1-2,1,2,-1,54,1,0,0,0,Match Report
54,Tottenham,9/15/2018,,Liverpool,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,Match Report
55,Tottenham,9/2/2018,@,Watford,eng Premier League,L 1-2,1,2,-1,66,0,0,0,0,Match Report
56,Tottenham,8/27/2018,@,Manchester Utd,eng Premier League,W 3-0,3,0,3,43,3,0,0,0,Match Report
57,Tottenham,8/18/2018,,Fulham,eng Premier League,W 3-1,3,1,2,60,3,0,0,0,Match Report
58,Tottenham,8/11/2018,@,Newcastle Utd,eng Premier League,W 2-1,2,1,1,58,2,0,0,0,Match Report
