Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,3/16/2025,@,Fulham,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,Match Report
2,Tottenham,3/13/2025,,AZ Alkmaar,Europa League,W 3-1,3,1,2,59,3,0,0,0,Match Report
3,Tottenham,3/9/2025,,Bournemouth,eng Premier League,D 2-2,2,2,0,61,1,1,1,0,Match Report
4,Tottenham,3/6/2025,@,AZ Alkmaar,Europa League,L 0-1,0,1,-1,61,0,0,0,0,Match Report
5,Tottenham,2/26/2025,,Manchester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,Match Report
6,Tottenham,2/22/2025,@,Ipswich Town,eng Premier League,W 4-1,4,1,3,58,4,0,0,0,Match Report
7,Tottenham,2/16/2025,,Manchester Utd,eng Premier League,W 1-0,1,0,1,55,1,0,0,0,Match Report
8,Tottenham,2/9/2025,@,Aston Villa,eng FA Cup,L 1-2,1,2,-1,49,1,0,0,0,Match Report
9,Tottenham,2/6/2025,@,Liverpool,eng EFL Cup,L 0-4,0,4,-4,36,0,0,0,0,Match Report
10,Tottenham,2/2/2025,@,Brentford,eng Premier League,W 2-0,2,0,2,46,1,0,0,0,Match Report
11,Tottenham,1/30/2025,,Elfsborg,Europa League,W 3-0,3,0,3,80,3,0,0,0,Match Report
12,Tottenham,1/26/2025,,Leicester City,eng Premier League,L 1-2,1,2,-1,61,1,0,0,0,Match Report
13,Tottenham,1/23/2025,@,Hoffenheim,Europa League,W 3-2,3,2,1,44,3,0,0,0,Match Report
14,Tottenham,1/19/2025,@,Everton,eng Premier League,L 2-3,2,3,-1,64,2,0,0,0,Match Report
15,Tottenham,1/15/2025,@,Arsenal,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,Match Report
16,Tottenham,1/12/2025,@,Tamworth,eng FA Cup,W 3-0 (aet),3,0,3,77,2,0,0,0,Match Report
17,Tottenham,1/8/2025,,Liverpool,eng EFL Cup,W 1-0,1,0,1,40,1,0,0,0,Match Report
18,Tottenham,1/4/2025,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,Match Report
19,Tottenham,12/29/2024,,Wolves,eng Premier League,D 2-2,2,2,0,48,2,0,1,1,Match Report
20,Tottenham,12/26/2024,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,70,0,0,0,0,Match Report
21,Tottenham,12/22/2024,,Liverpool,eng Premier League,L 3-6,3,6,-3,52,3,0,0,0,Match Report
22,Tottenham,12/19/2024,,Manchester Utd,eng EFL Cup,W 4-3,4,3,1,46,4,0,0,0,Match Report
23,Tottenham,12/15/2024,@,Southampton,eng Premier League,W 5-0,5,0,5,58,5,0,0,0,Match Report
24,Tottenham,12/12/2024,@,Rangers,Europa League,D 1-1,1,1,0,58,1,0,0,0,Match Report
25,Tottenham,12/8/2024,,Chelsea,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,Match Report
26,Tottenham,12/5/2024,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,Match Report
27,Tottenham,12/1/2024,,Fulham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,Match Report
28,Tottenham,11/28/2024,,Roma,Europa League,D 2-2,2,2,0,49,1,1,1,0,Match Report
29,Tottenham,11/23/2024,@,Manchester City,eng Premier League,W 4-0,4,0,4,42,4,0,0,0,Match Report
30,Tottenham,11/10/2024,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,66,1,0,0,0,Match Report
31,Tottenham,11/7/2024,@,Galatasaray,Europa League,L 2-3,2,3,-1,46,2,0,0,0,Match Report
32,Tottenham,11/3/2024,,Aston Villa,eng Premier League,W 4-1,4,1,3,51,4,0,0,0,Match Report
33,Tottenham,10/30/2024,,Manchester City,eng EFL Cup,W 2-1,2,1,1,32,2,0,0,0,Match Report
34,Tottenham,10/27/2024,@,Crystal Palace,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,Match Report
35,Tottenham,10/24/2024,,AZ Alkmaar,Europa League,W 1-0,1,0,1,59,0,1,1,0,Match Report
36,Tottenham,10/19/2024,,West Ham,eng Premier League,W 4-1,4,1,3,57,3,0,0,0,Match Report
37,Tottenham,10/6/2024,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,Match Report
38,Tottenham,10/3/2024,@,Ferencváros,Europa League,W 2-1,2,1,1,58,2,0,0,0,Match Report
39,Tottenham,9/29/2024,@,Manchester Utd,eng Premier League,W 3-0,3,0,3,61,3,0,0,0,Match Report
40,Tottenham,9/26/2024,,Qarabağ,Europa League,W 3-0,3,0,3,49,3,0,0,0,Match Report
41,Tottenham,9/21/2024,,Brentford,eng Premier League,W 3-1,3,1,2,48,3,0,0,0,Match Report
42,Tottenham,9/18/2024,@,Coventry City,eng EFL Cup,W 2-1,2,1,1,70,2,0,0,0,Match Report
43,Tottenham,9/15/2024,,Arsenal,eng Premier League,L 0-1,0,1,-1,63,0,0,0,0,Match Report
44,Tottenham,9/1/2024,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,0,0,0,0,Match Report
45,Tottenham,8/24/2024,,Everton,eng Premier League,W 4-0,4,0,4,70,4,0,0,0,Match Report
46,Tottenham,8/19/2024,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,Match Report
