Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,5/22/2022,@,Norwich City,eng Premier League,W 5-0,5,0,5,59,5,0,0,0,Match Report
2,Tottenham,5/15/2022,,Burnley,eng Premier League,W 1-0,1,0,1,68,0,1,1,0,Match Report
3,Tottenham,5/12/2022,,Arsenal,eng Premier League,W 3-0,3,0,3,57,2,1,1,0,Match Report
4,Tottenham,5/7/2022,@,Liverpool,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,Match Report
5,Tottenham,5/1/2022,,Leicester City,eng Premier League,W 3-1,3,1,2,40,3,0,0,0,Match Report
6,Tottenham,4/23/2022,@,Brentford,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,Match Report
7,Tottenham,4/16/2022,,Brighton,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,Match Report
8,Tottenham,4/9/2022,@,Aston Villa,eng Premier League,W 4-0,4,0,4,48,4,0,0,0,Match Report
9,Tottenham,4/3/2022,,Newcastle Utd,eng Premier League,W 5-1,5,1,4,60,5,0,0,0,Match Report
10,Tottenham,3/20/2022,,West Ham,eng Premier League,W 3-1,3,1,2,53,2,0,0,0,Match Report
11,Tottenham,3/16/2022,@,Brighton,eng Premier League,W 2-0,2,0,2,52,2,0,0,0,Match Report
12,Tottenham,3/12/2022,@,Manchester Utd,eng Premier League,L 2-3,2,3,-1,57,0,1,1,0,Match Report
13,Tottenham,3/7/2022,,Everton,eng Premier League,W 5-0,5,0,5,55,4,0,0,0,Match Report
14,Tottenham,3/1/2022,@,Middlesbrough,eng FA Cup,L 0-1 (aet),0,1,-1,49,0,0,0,0,Match Report
15,Tottenham,2/26/2022,@,Leeds United,eng Premier League,W 4-0,4,0,4,50,4,0,0,0,Match Report
16,Tottenham,2/23/2022,@,Burnley,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,Match Report
17,Tottenham,2/19/2022,@,Manchester City,eng Premier League,W 3-2,3,2,1,29,3,0,0,0,Match Report
18,Tottenham,2/13/2022,,Wolves,eng Premier League,L 0-2,0,2,-2,58,0,0,0,0,Match Report
19,Tottenham,2/9/2022,,Southampton,eng Premier League,L 2-3,2,3,-1,48,1,0,0,0,Match Report
20,Tottenham,2/5/2022,,Brighton,eng FA Cup,W 3-1,3,1,2,43,2,0,0,0,Match Report
21,Tottenham,1/23/2022,@,Chelsea,eng Premier League,L 0-2,0,2,-2,36,0,0,0,0,Match Report
22,Tottenham,1/19/2022,@,Leicester City,eng Premier League,W 3-2,3,2,1,51,3,0,0,0,Match Report
23,Tottenham,1/12/2022,,Chelsea,eng EFL Cup,L 0-1,0,1,-1,36,0,0,0,0,Match Report
24,Tottenham,1/9/2022,,Morecambe,eng FA Cup,W 3-1,3,1,2,79,3,0,0,0,Match Report
25,Tottenham,1/5/2022,@,Chelsea,eng EFL Cup,L 0-2,0,2,-2,36,0,0,0,0,Match Report
26,Tottenham,1/1/2022,@,Watford,eng Premier League,W 1-0,1,0,1,74,1,0,0,0,Match Report
27,Tottenham,12/28/2021,@,Southampton,eng Premier League,D 1-1,1,1,0,65,0,1,1,0,Match Report
28,Tottenham,12/26/2021,,Crystal Palace,eng Premier League,W 3-0,3,0,3,60,3,0,0,0,Match Report
29,Tottenham,12/22/2021,,West Ham,eng EFL Cup,W 2-1,2,1,1,43,2,0,0,0,Match Report
30,Tottenham,12/19/2021,,Liverpool,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,Match Report
31,Tottenham,12/9/2021,,Rennes,Conference League,L 0-3,0,3,-3,,,,,,Match Report
32,Tottenham,12/5/2021,,Norwich City,eng Premier League,W 3-0,3,0,3,41,3,0,0,0,Match Report
33,Tottenham,12/2/2021,,Brentford,eng Premier League,W 2-0,2,0,2,47,1,0,0,0,Match Report
34,Tottenham,11/25/2021,@,NŠ Mura,Conference League,L 1-2,1,2,-1,,1,0,0,0,Match Report
35,Tottenham,11/21/2021,,Leeds United,eng Premier League,W 2-1,2,1,1,43,2,0,0,0,Match Report
36,Tottenham,11/7/2021,@,Everton,eng Premier League,D 0-0,0,0,0,55,0,0,0,0,Match Report
37,Tottenham,11/4/2021,,Vitesse,Conference League,W 3-2,3,2,1,,2,0,0,0,Match Report
38,Tottenham,10/30/2021,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,Match Report
39,Tottenham,10/27/2021,@,Burnley,eng EFL Cup,W 1-0,1,0,1,62,1,0,0,0,Match Report
40,Tottenham,10/24/2021,@,West Ham,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,Match Report
41,Tottenham,10/21/2021,@,Vitesse,Conference League,L 0-1,0,1,-1,,0,0,0,0,Match Report
42,Tottenham,10/17/2021,@,Newcastle Utd,eng Premier League,W 3-2,3,2,1,64,3,0,0,0,Match Report
43,Tottenham,10/3/2021,,Aston Villa,eng Premier League,W 2-1,2,1,1,56,1,0,0,0,Match Report
44,Tottenham,9/30/2021,,NŠ Mura,Conference League,W 5-1,5,1,4,,4,1,1,0,Match Report
45,Tottenham,9/26/2021,@,Arsenal,eng Premier League,L 1-3,1,3,-2,54,1,0,0,0,Match Report
46,Tottenham,9/22/2021,@,Wolves,eng EFL Cup,D 2-2 (pk),2,2,0,49,2,0,0,0,Match Report
47,Tottenham,9/19/2021,,Chelsea,eng Premier League,L 0-3,0,3,-3,47,0,0,0,0,Match Report
48,Tottenham,9/16/2021,@,Rennes,Conference League,D 2-2,2,2,0,,1,0,0,0,Match Report
49,Tottenham,9/11/2021,@,Crystal Palace,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,Match Report
