Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,5/19/2024,@,Sheffield Utd,eng Premier League,W 3-0,3,0,3,75,3,0,0,0,Match Report
2,Tottenham,5/14/2024,,Manchester City,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,Match Report
3,Tottenham,5/11/2024,,Burnley,eng Premier League,W 2-1,2,1,1,63,2,0,0,0,Match Report
4,Tottenham,5/5/2024,@,Liverpool,eng Premier League,L 2-4,2,4,-2,56,2,0,0,0,Match Report
5,Tottenham,5/2/2024,@,Chelsea,eng Premier League,L 0-2,0,2,-2,63,0,0,0,0,Match Report
6,Tottenham,4/28/2024,,Arsenal,eng Premier League,L 2-3,2,3,-1,62,1,1,1,0,Match Report
7,Tottenham,4/13/2024,@,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,72,0,0,0,0,Match Report
8,Tottenham,4/7/2024,,Nott'ham Forest,eng Premier League,W 3-1,3,1,2,63,2,0,0,0,Match Report
9,Tottenham,4/2/2024,@,West Ham,eng Premier League,D 1-1,1,1,0,67,1,0,0,0,Match Report
10,Tottenham,3/30/2024,,Luton Town,eng Premier League,W 2-1,2,1,1,70,1,0,0,0,Match Report
11,Tottenham,3/16/2024,@,Fulham,eng Premier League,L 0-3,0,3,-3,57,0,0,0,0,Match Report
12,Tottenham,3/10/2024,@,Aston Villa,eng Premier League,W 4-0,4,0,4,68,4,0,0,0,Match Report
13,Tottenham,3/2/2024,,Crystal Palace,eng Premier League,W 3-1,3,1,2,78,3,0,0,0,Match Report
14,Tottenham,2/17/2024,,Wolves,eng Premier League,L 1-2,1,2,-1,71,1,0,0,0,Match Report
15,Tottenham,2/10/2024,,Brighton,eng Premier League,W 2-1,2,1,1,52,2,0,0,0,Match Report
16,Tottenham,2/3/2024,@,Everton,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,Match Report
17,Tottenham,1/31/2024,,Brentford,eng Premier League,W 3-2,3,2,1,67,3,0,0,0,Match Report
18,Tottenham,1/26/2024,,Manchester City,eng FA Cup,L 0-1,0,1,-1,43,0,0,0,0,Match Report
19,Tottenham,1/14/2024,@,Manchester Utd,eng Premier League,D 2-2,2,2,0,63,2,0,0,0,Match Report
20,Tottenham,1/5/2024,,Burnley,eng FA Cup,W 1-0,1,0,1,63,1,0,0,0,Match Report
21,Tottenham,12/31/2023,,Bournemouth,eng Premier League,W 3-1,3,1,2,50,3,0,0,0,Match Report
22,Tottenham,12/28/2023,@,Brighton,eng Premier League,L 2-4,2,4,-2,55,2,0,0,0,Match Report
23,Tottenham,12/23/2023,,Everton,eng Premier League,W 2-1,2,1,1,61,2,0,0,0,Match Report
24,Tottenham,12/15/2023,@,Nott'ham Forest,eng Premier League,W 2-0,2,0,2,66,2,0,0,0,Match Report
25,Tottenham,12/10/2023,,Newcastle Utd,eng Premier League,W 4-1,4,1,3,56,3,1,1,0,Match Report
26,Tottenham,12/7/2023,,West Ham,eng Premier League,L 1-2,1,2,-1,74,1,0,0,0,Match Report
27,Tottenham,12/3/2023,@,Manchester City,eng Premier League,D 3-3,3,3,0,45,3,0,0,0,Match Report
28,Tottenham,11/26/2023,,Aston Villa,eng Premier League,L 1-2,1,2,-1,62,1,0,0,0,Match Report
29,Tottenham,11/11/2023,@,Wolves,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,Match Report
30,Tottenham,11/6/2023,,Chelsea,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,Match Report
31,Tottenham,10/27/2023,@,Crystal Palace,eng Premier League,W 2-1,2,1,1,75,1,0,0,0,Match Report
32,Tottenham,10/23/2023,,Fulham,eng Premier League,W 2-0,2,0,2,55,2,0,0,0,Match Report
33,Tottenham,10/7/2023,@,Luton Town,eng Premier League,W 1-0,1,0,1,66,1,0,0,0,Match Report
34,Tottenham,9/30/2023,,Liverpool,eng Premier League,W 2-1,2,1,1,64,1,0,0,0,Match Report
35,Tottenham,9/24/2023,@,Arsenal,eng Premier League,D 2-2,2,2,0,53,2,0,0,0,Match Report
36,Tottenham,9/16/2023,,Sheffield Utd,eng Premier League,W 2-1,2,1,1,70,2,0,0,0,Match Report
37,Tottenham,9/2/2023,@,Burnley,eng Premier League,W 5-2,5,2,3,53,5,0,0,0,Match Report
38,Tottenham,8/29/2023,@,Fulham,eng EFL Cup,D 1-1 (pk),1,1,0,60,1,0,0,0,Match Report
39,Tottenham,8/26/2023,@,Bournemouth,eng Premier League,W 2-0,2,0,2,56,2,0,0,0,Match Report
40,Tottenham,8/19/2023,,Manchester Utd,eng Premier League,W 2-0,2,0,2,55,1,0,0,0,Match Report
41,Tottenham,8/13/2023,@,Brentford,eng Premier League,D 2-2,2,2,0,69,2,0,0,0,Match Report
