Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,7/26/2020,@,Crystal Palace,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,Match Report
2,Tottenham,7/19/2020,,Leicester City,eng Premier League,W 3-0,3,0,3,30,2,0,0,0,Match Report
3,Tottenham,7/15/2020,@,Newcastle Utd,eng Premier League,W 3-1,3,1,2,48,3,0,0,0,Match Report
4,Tottenham,7/12/2020,,Arsenal,eng Premier League,W 2-1,2,1,1,38,2,0,0,0,Match Report
5,Tottenham,7/9/2020,@,Bournemouth,eng Premier League,D 0-0,0,0,0,63,0,0,0,0,Match Report
6,Tottenham,7/6/2020,,Everton,eng Premier League,W 1-0,1,0,1,52,0,0,0,0,Match Report
7,Tottenham,7/2/2020,@,Sheffield Utd,eng Premier League,L 1-3,1,3,-2,67,1,0,0,0,Match Report
8,Tottenham,6/23/2020,,West Ham,eng Premier League,W 2-0,2,0,2,64,1,0,0,0,Match Report
9,Tottenham,6/19/2020,,Manchester Utd,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,Match Report
10,Tottenham,3/10/2020,@,RB Leipzig,Champions League,L 0-3,0,3,-3,46,0,0,0,0,Match Report
11,Tottenham,3/7/2020,@,Burnley,eng Premier League,D 1-1,1,1,0,54,0,1,1,0,Match Report
12,Tottenham,3/4/2020,,Norwich City,eng FA Cup,D 1-1 (pk),1,1,0,50,1,0,0,0,Match Report
13,Tottenham,3/1/2020,,Wolves,eng Premier League,L 2-3,2,3,-1,65,2,0,0,0,Match Report
14,Tottenham,2/22/2020,@,Chelsea,eng Premier League,L 1-2,1,2,-1,51,0,0,0,0,Match Report
15,Tottenham,2/19/2020,,RB Leipzig,Champions League,L 0-1,0,1,-1,44,0,0,0,0,Match Report
16,Tottenham,2/16/2020,@,Aston Villa,eng Premier League,W 3-2,3,2,1,45,3,0,1,1,Match Report
17,Tottenham,2/5/2020,,Southampton,eng FA Cup,W 3-2,3,2,1,44,1,1,1,0,Match Report
18,Tottenham,2/2/2020,,Manchester City,eng Premier League,W 2-0,2,0,2,33,2,0,0,0,Match Report
19,Tottenham,1/25/2020,@,Southampton,eng FA Cup,D 1-1,1,1,0,41,1,0,0,0,Match Report
20,Tottenham,1/22/2020,,Norwich City,eng Premier League,W 2-1,2,1,1,51,2,0,0,0,Match Report
21,Tottenham,1/18/2020,@,Watford,eng Premier League,D 0-0,0,0,0,58,0,0,0,0,Match Report
22,Tottenham,1/14/2020,,Middlesbrough,eng FA Cup,W 2-1,2,1,1,68,2,0,0,0,Match Report
23,Tottenham,1/11/2020,,Liverpool,eng Premier League,L 0-1,0,1,-1,33,0,0,0,0,Match Report
24,Tottenham,1/5/2020,@,Middlesbrough,eng FA Cup,D 1-1,1,1,0,71,1,0,0,0,Match Report
25,Tottenham,1/1/2020,@,Southampton,eng Premier League,L 0-1,0,1,-1,59,0,0,0,0,Match Report
26,Tottenham,12/28/2019,@,Norwich City,eng Premier League,D 2-2,2,2,0,58,1,1,1,0,Match Report
27,Tottenham,12/26/2019,,Brighton,eng Premier League,W 2-1,2,1,1,54,2,0,0,0,Match Report
28,Tottenham,12/22/2019,,Chelsea,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,Match Report
29,Tottenham,12/15/2019,@,Wolves,eng Premier League,W 2-1,2,1,1,42,2,0,0,0,Match Report
30,Tottenham,12/11/2019,@,Bayern Munich,Champions League,L 1-3,1,3,-2,30,1,0,0,0,Match Report
31,Tottenham,12/7/2019,,Burnley,eng Premier League,W 5-0,5,0,5,49,5,0,0,0,Match Report
32,Tottenham,12/4/2019,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,Match Report
33,Tottenham,11/30/2019,,Bournemouth,eng Premier League,W 3-2,3,2,1,52,3,0,0,0,Match Report
34,Tottenham,11/26/2019,,Olympiacos,Champions League,W 4-2,4,2,2,58,4,0,0,0,Match Report
35,Tottenham,11/23/2019,@,West Ham,eng Premier League,W 3-2,3,2,1,52,3,0,0,0,Match Report
36,Tottenham,11/9/2019,,Sheffield Utd,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,Match Report
37,Tottenham,11/6/2019,@,Red Star,Champions League,W 4-0,4,0,4,67,4,0,0,0,Match Report
38,Tottenham,11/3/2019,@,Everton,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,Match Report
39,Tottenham,10/27/2019,@,Liverpool,eng Premier League,L 1-2,1,2,-1,33,1,0,0,0,Match Report
40,Tottenham,10/22/2019,,Red Star,Champions League,W 5-0,5,0,5,58,5,0,0,0,Match Report
41,Tottenham,10/19/2019,,Watford,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,Match Report
42,Tottenham,10/5/2019,@,Brighton,eng Premier League,L 0-3,0,3,-3,52,0,0,0,0,Match Report
43,Tottenham,10/1/2019,,Bayern Munich,Champions League,L 2-7,2,7,-5,41,1,1,1,0,Match Report
44,Tottenham,9/28/2019,,Southampton,eng Premier League,W 2-1,2,1,1,42,2,0,0,0,Match Report
45,Tottenham,9/24/2019,@,Colchester Utd,eng EFL Cup,D 0-0 (pk),0,0,0,75,0,0,0,0,Match Report
46,Tottenham,9/21/2019,@,Leicester City,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,Match Report
47,Tottenham,9/18/2019,@,Olympiacos,Champions League,D 2-2,2,2,0,56,1,1,1,0,Match Report
48,Tottenham,9/14/2019,,Crystal Palace,eng Premier League,W 4-0,4,0,4,64,3,0,0,0,Match Report
49,Tottenham,9/1/2019,@,Arsenal,eng Premier League,D 2-2,2,2,0,45,1,1,1,0,Match Report
50,Tottenham,8/25/2019,,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,79,0,0,0,0,Match Report
51,Tottenham,8/17/2019,@,Manchester City,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,Match Report
52,Tottenham,8/10/2019,,Aston Villa,eng Premier League,W 3-1,3,1,2,70,3,0,0,0,Match Report
