Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,5/13/2018,,Leicester City,eng Premier League,W 5-4,5,4,1,64,4,0,0,0,Match Report
2,Tottenham,5/9/2018,,Newcastle Utd,eng Premier League,W 1-0,1,0,1,63,1,0,0,0,Match Report
3,Tottenham,5/5/2018,@,West Brom,eng Premier League,L 0-1,0,1,-1,74,0,0,0,0,Match Report
4,Tottenham,4/30/2018,,Watford,eng Premier League,W 2-0,2,0,2,61,2,0,0,0,Match Report
5,Tottenham,4/21/2018,@,Manchester Utd,eng FA Cup,L 1-2,1,2,-1,64,1,0,0,0,Match Report
6,Tottenham,4/17/2018,@,Brighton,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,Match Report
7,Tottenham,4/14/2018,,Manchester City,eng Premier League,L 1-3,1,3,-2,48,1,0,0,0,Match Report
8,Tottenham,4/7/2018,@,Stoke City,eng Premier League,W 2-1,2,1,1,65,2,0,0,0,Match Report
9,Tottenham,4/1/2018,@,Chelsea,eng Premier League,W 3-1,3,1,2,51,3,0,0,0,Match Report
10,Tottenham,3/17/2018,@,Swansea City,eng FA Cup,W 3-0,3,0,3,75,3,0,0,0,Match Report
11,Tottenham,3/11/2018,@,Bournemouth,eng Premier League,W 4-1,4,1,3,63,4,0,0,0,Match Report
12,Tottenham,3/7/2018,,Juventus,Champions League,L 1-2,1,2,-1,55,1,0,0,0,Match Report
13,Tottenham,3/3/2018,,Huddersfield,eng Premier League,W 2-0,2,0,2,74,2,0,0,0,Match Report
14,Tottenham,2/28/2018,,Rochdale,eng FA Cup,W 6-1,6,1,5,63,6,0,0,0,Match Report
15,Tottenham,2/25/2018,@,Crystal Palace,eng Premier League,W 1-0,1,0,1,75,1,0,0,0,Match Report
16,Tottenham,2/18/2018,@,Rochdale,eng FA Cup,D 2-2,2,2,0,65,1,1,1,0,Match Report
17,Tottenham,2/13/2018,@,Juventus,Champions League,D 2-2,2,2,0,66,2,0,0,0,Match Report
18,Tottenham,2/10/2018,,Arsenal,eng Premier League,W 1-0,1,0,1,50,1,0,0,0,Match Report
19,Tottenham,2/7/2018,,Newport County,eng FA Cup,W 2-0,2,0,2,74,1,0,0,0,Match Report
20,Tottenham,2/4/2018,@,Liverpool,eng Premier League,D 2-2,2,2,0,66,1,1,2,1,Match Report
21,Tottenham,1/31/2018,,Manchester Utd,eng Premier League,W 2-0,2,0,2,52,1,0,0,0,Match Report
22,Tottenham,1/27/2018,@,Newport County,eng FA Cup,D 1-1,1,1,0,71,1,0,0,0,Match Report
23,Tottenham,1/21/2018,@,Southampton,eng Premier League,D 1-1,1,1,0,59,1,0,0,0,Match Report
24,Tottenham,1/13/2018,,Everton,eng Premier League,W 4-0,4,0,4,61,4,0,0,0,Match Report
25,Tottenham,1/7/2018,,AFC Wimbledon,eng FA Cup,W 3-0,3,0,3,81,3,0,0,0,Match Report
26,Tottenham,1/4/2018,,West Ham,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,Match Report
27,Tottenham,1/2/2018,@,Swansea City,eng Premier League,W 2-0,2,0,2,67,2,0,0,0,Match Report
28,Tottenham,12/26/2017,,Southampton,eng Premier League,W 5-2,5,2,3,57,5,0,0,0,Match Report
29,Tottenham,12/23/2017,@,Burnley,eng Premier League,W 3-0,3,0,3,59,2,1,1,0,Match Report
30,Tottenham,12/16/2017,@,Manchester City,eng Premier League,L 1-4,1,4,-3,48,1,0,0,0,Match Report
31,Tottenham,12/13/2017,,Brighton,eng Premier League,W 2-0,2,0,2,74,2,0,0,0,Match Report
32,Tottenham,12/9/2017,,Stoke City,eng Premier League,W 5-1,5,1,4,71,4,0,0,0,Match Report
33,Tottenham,12/6/2017,,APOEL FC,Champions League,W 3-0,3,0,3,65,3,0,0,0,Match Report
34,Tottenham,12/2/2017,@,Watford,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,Match Report
35,Tottenham,11/28/2017,@,Leicester City,eng Premier League,L 1-2,1,2,-1,62,1,0,0,0,Match Report
36,Tottenham,11/25/2017,,West Brom,eng Premier League,D 1-1,1,1,0,72,1,0,0,0,Match Report
37,Tottenham,11/21/2017,@,Dortmund,Champions League,W 2-1,2,1,1,51,2,0,0,0,Match Report
38,Tottenham,11/18/2017,@,Arsenal,eng Premier League,L 0-2,0,2,-2,57,0,0,0,0,Match Report
39,Tottenham,11/5/2017,,Crystal Palace,eng Premier League,W 1-0,1,0,1,68,1,0,0,0,Match Report
40,Tottenham,11/1/2017,,Real Madrid,Champions League,W 3-1,3,1,2,37,3,0,0,0,Match Report
41,Tottenham,10/28/2017,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,Match Report
42,Tottenham,10/25/2017,,West Ham,eng EFL Cup,L 2-3,2,3,-1,61,2,0,0,0,Match Report
43,Tottenham,10/22/2017,,Liverpool,eng Premier League,W 4-1,4,1,3,37,4,0,0,0,Match Report
44,Tottenham,10/17/2017,@,Real Madrid,Champions League,D 1-1,1,1,0,34,0,0,0,0,Match Report
45,Tottenham,10/14/2017,,Bournemouth,eng Premier League,W 1-0,1,0,1,72,1,0,0,0,Match Report
46,Tottenham,9/30/2017,@,Huddersfield,eng Premier League,W 4-0,4,0,4,59,4,0,0,0,Match Report
47,Tottenham,9/26/2017,@,APOEL FC,Champions League,W 3-0,3,0,3,58,3,0,0,0,Match Report
48,Tottenham,9/23/2017,@,West Ham,eng Premier League,W 3-2,3,2,1,51,3,0,0,0,Match Report
49,Tottenham,9/19/2017,,Barnsley,eng EFL Cup,W 1-0,1,0,1,73,1,0,0,0,Match Report
50,Tottenham,9/16/2017,,Swansea City,eng Premier League,D 0-0,0,0,0,75,0,0,0,0,Match Report
51,Tottenham,9/13/2017,,Dortmund,Champions League,W 3-1,3,1,2,33,3,0,0,0,Match Report
