Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Tottenham,5/23/2021,@,Leicester City,eng Premier League,W 4-2,4,2,2,53,3,0,0,0,Match Report
2,Tottenham,5/19/2021,,Aston Villa,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,Match Report
3,Tottenham,5/16/2021,,Wolves,eng Premier League,W 2-0,2,0,2,62,2,0,0,0,Match Report
4,Tottenham,5/8/2021,@,Leeds United,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,Match Report
5,Tottenham,5/2/2021,,Sheffield Utd,eng Premier League,W 4-0,4,0,4,66,4,0,0,0,Match Report
6,Tottenham,4/25/2021,@,Manchester City,eng EFL Cup,L 0-1,0,1,-1,38,0,0,0,0,Match Report
7,Tottenham,4/21/2021,,Southampton,eng Premier League,W 2-1,2,1,1,62,1,1,1,0,Match Report
8,Tottenham,4/16/2021,@,Everton,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,Match Report
9,Tottenham,4/11/2021,,Manchester Utd,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,Match Report
10,Tottenham,4/4/2021,@,Newcastle Utd,eng Premier League,D 2-2,2,2,0,58,2,0,0,0,Match Report
11,Tottenham,3/21/2021,@,Aston Villa,eng Premier League,W 2-0,2,0,2,50,1,1,1,0,Match Report
12,Tottenham,3/18/2021,@,Dinamo Zagreb,Europa League,L 0-3,0,3,-3,57,0,0,0,0,Match Report
13,Tottenham,3/14/2021,@,Arsenal,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,Match Report
14,Tottenham,3/11/2021,,Dinamo Zagreb,Europa League,W 2-0,2,0,2,67,2,0,0,0,Match Report
15,Tottenham,3/7/2021,,Crystal Palace,eng Premier League,W 4-1,4,1,3,63,4,0,0,0,Match Report
16,Tottenham,3/4/2021,@,Fulham,eng Premier League,W 1-0,1,0,1,40,0,0,0,0,Match Report
17,Tottenham,2/28/2021,,Burnley,eng Premier League,W 4-0,4,0,4,58,4,0,0,0,Match Report
18,Tottenham,2/24/2021,,Wolfsberger AC,Europa League,W 4-0,4,0,4,55,4,0,0,0,Match Report
19,Tottenham,2/21/2021,@,West Ham,eng Premier League,L 1-2,1,2,-1,68,1,0,0,0,Match Report
20,Tottenham,2/18/2021,N,Wolfsberger AC,Europa League,W 4-1,4,1,3,61,4,0,0,0,Match Report
21,Tottenham,2/13/2021,@,Manchester City,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,Match Report
22,Tottenham,2/10/2021,@,Everton,eng FA Cup,L 4-5 (aet),4,5,-1,57,4,0,0,0,Match Report
23,Tottenham,2/7/2021,,West Brom,eng Premier League,W 2-0,2,0,2,65,2,0,0,0,Match Report
24,Tottenham,2/4/2021,,Chelsea,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,Match Report
25,Tottenham,1/31/2021,@,Brighton,eng Premier League,L 0-1,0,1,-1,57,0,0,0,0,Match Report
26,Tottenham,1/28/2021,,Liverpool,eng Premier League,L 1-3,1,3,-2,50,1,0,0,0,Match Report
27,Tottenham,1/25/2021,@,Wycombe,eng FA Cup,W 4-1,4,1,3,73,4,0,0,0,Match Report
28,Tottenham,1/17/2021,@,Sheffield Utd,eng Premier League,W 3-1,3,1,2,57,3,0,0,0,Match Report
29,Tottenham,1/13/2021,,Fulham,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,Match Report
30,Tottenham,1/10/2021,@,Marine,eng FA Cup,W 5-0,5,0,5,75,5,0,0,0,Match Report
31,Tottenham,1/5/2021,,Brentford,eng EFL Cup,W 2-0,2,0,2,54,2,0,0,0,Match Report
32,Tottenham,1/2/2021,,Leeds United,eng Premier League,W 3-0,3,0,3,37,2,1,1,0,Match Report
33,Tottenham,12/27/2020,@,Wolves,eng Premier League,D 1-1,1,1,0,45,1,0,0,0,Match Report
34,Tottenham,12/23/2020,@,Stoke City,eng EFL Cup,W 3-1,3,1,2,66,3,0,0,0,Match Report
35,Tottenham,12/20/2020,,Leicester City,eng Premier League,L 0-2,0,2,-2,56,0,0,0,0,Match Report
36,Tottenham,12/16/2020,@,Liverpool,eng Premier League,L 1-2,1,2,-1,25,1,0,0,0,Match Report
37,Tottenham,12/13/2020,@,Crystal Palace,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,Match Report
38,Tottenham,12/10/2020,,Antwerp,Europa League,W 2-0,2,0,2,45,2,0,0,0,Match Report
39,Tottenham,12/6/2020,,Arsenal,eng Premier League,W 2-0,2,0,2,31,2,0,0,0,Match Report
40,Tottenham,12/3/2020,@,LASK,Europa League,D 3-3,3,3,0,46,1,2,2,0,Match Report
41,Tottenham,11/29/2020,@,Chelsea,eng Premier League,D 0-0,0,0,0,40,0,0,0,0,Match Report
42,Tottenham,11/26/2020,,Ludogorets,Europa League,W 4-0,4,0,4,61,4,0,0,0,Match Report
43,Tottenham,11/21/2020,,Manchester City,eng Premier League,W 2-0,2,0,2,34,2,0,0,0,Match Report
44,Tottenham,11/8/2020,@,West Brom,eng Premier League,W 1-0,1,0,1,58,1,0,0,0,Match Report
45,Tottenham,11/5/2020,@,Ludogorets,Europa League,W 3-1,3,1,2,56,3,0,0,0,Match Report
46,Tottenham,11/1/2020,,Brighton,eng Premier League,W 2-1,2,1,1,44,1,1,1,0,Match Report
