Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
47,Tottenham,10/29/2020,@,Antwerp,Europa League,L 0-1,0,1,-1,56,0,0,0,0,Match Report
48,Tottenham,10/26/2020,@,Burnley,eng Premier League,W 1-0,1,0,1,61,1,0,0,0,Match Report
49,Tottenham,10/22/2020,,LASK,Europa League,W 3-0,3,0,3,55,2,0,0,0,Match Report
50,Tottenham,10/18/2020,,West Ham,eng Premier League,D 3-3,3,3,0,50,3,0,0,0,Match Report
51,Tottenham,10/4/2020,@,Manchester Utd,eng Premier League,W 6-1,6,1,5,61,5,1,1,0,Match Report
52,Tottenham,10/1/2020,,Maccabi Haifa,Europa League,W 7-2,7,2,5,53,5,2,2,0,Match Report
53,Tottenham,9/29/2020,,Chelsea,eng EFL Cup,D 1-1 (pk),1,1,0,37,1,0,0,0,Match Report
54,Tottenham,9/27/2020,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,Match Report
55,Tottenham,9/22/2020,@,Leyton Orient,eng EFL Cup,W 3-0,3,0,3,,,,,,Match Report
56,Tottenham,9/20/2020,@,Southampton,eng Premier League,W 5-2,5,2,3,49,5,0,0,0,Match Report
57,Tottenham,9/13/2020,,Everton,eng Premier League,L 0-1,0,1,-1,52,0,0,0,0,Match Report
